Buy,Sell,Hold
BAJAJHLDNG.NS,ABCAPITAL.NS,AUBANK.NS
COFORGE.NS,BANKINDIA.NS,BAJAJFINSV.NS
DIVISLAB.NS,BDL.NS,BAJFINANCE.NS
DIXON.NS,BRITANNIA.NS,BEL.NS
EICHERMOT.NS,CHOLAFIN.NS,BHARTIARTL.NS
GLENMARK.NS,COCHINSHIP.NS,BSE.NS
HCLTECH.NS,DMART.NS,HDFCAMC.NS
HDFCBANK.NS,INDIANB.NS,HDFCLIFE.NS
HINDPETRO.NS,INDUSTOWER.NS,INDIGO.NS
ICICIBANK.NS,LTF.NS,KOTAKBANK.NS
INDHOTEL.NS,RELIANCE.NS,MFSL.NS
JUBLFOOD.NS,SAIL.NS,SBILIFE.NS
MOTILALOFS.NS,TATACONSUM.NS,SOLARINDS.NS
PAGEIND.NS,TATASTEEL.NS,SRF.NS
PERSISTENT.NS,UNIONBANK.NS,
SUZLON.NS,UPL.NS,
